Airport,IATA,City,Country,Continent,January,February,March,April,May,June,July,August,September,October,November,December,Total_Flights_2024
Charles de Gaulle,CDG,Paris,France,Europe,33828,31113,34781,38080,40461,41528,44125,45484,41137,41190,35126,38642,465495
Hartsfield-Jackson Atlanta International,ATL,Atlanta,United States,North America,59926,57721,65809,64706,72721,72941,68971,69853,64338,68897,62574,66176,794633
Dubai International,DXB,Dubai,United Arab Emirates,Asia,37619,35238,36667,32381,34286,35714,37143,38095,36190,37143,36190,39048,435714
Guarulhos International,GRU,São Paulo,Brazil,South America,25153,21472,21166,20859,20552,20245,23313,21472,20552,21779,20859,23926,261348
Mohammed V International,CMN,Casablanca,Morocco,Africa,5099,4768,4669,5020,5757,6026,6954,7285,6093,5629,4636,4967,66903
Sydney Kingsford Smith,SYD,Sydney,Australia,Oceania,30136,27704,28902,24138,27089,26758,29640,28325,28571,30672,29790,31092,342817
