Airport,IATA,City,Country,Continent,January,February,March,April,May,June,July,August,September,October,November,December,Total_2024
Charles de Gaulle,CDG,Paris,France,Europe,5108000,4698000,5252000,5750138,6109537,6270801,6662862,6868032,6211747,6219714,5304078,5834984,70289893
Hartsfield-Jackson Atlanta International,ATL,Atlanta,United States,North America,8150000,7850000,8950000,8800000,9890000,9920000,9380000,9500000,8750000,9370000,8510000,9000000,108070000
Dubai International,DXB,Dubai,United Arab Emirates,Asia,7900000,7400000,7700000,6800000,7200000,7500000,7800000,8000000,7600000,7800000,7600000,8200000,91500000
Guarulhos International,GRU,São Paulo,Brazil,South America,4100000,3500000,3450000,3400000,3350000,3300000,3800000,3500000,3350000,3550000,3400000,3900000,42600000
Mohammed V International,CMN,Casablanca,Morocco,Africa,770000,720000,705000,758000,869278,910000,1050000,1100000,920000,850000,700000,750000,10102278
Sydney Kingsford Smith,SYD,Sydney,Australia,Oceania,3586146,3296725,3439307,2872406,3223549,3184198,3527111,3370641,3400000,3650000,3544984,3700000,40795067
